"","HAADF","O","Cr","Fe","Ni","Pb","Bi"
"Position","Intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity","Net intensity"
"m","Counts","Counts","Counts","Counts","Counts","Counts","Counts"
9.214180e-09,2.235461e+04,1.843281e-01,3.112992e-01,1.650282e+00,1.887919e-01,2.969825e-02,8.367198e-03
9.267135e-09,2.231070e+04,2.051934e-01,2.992601e-01,1.568394e+00,2.066942e-01,3.330307e-02,9.982164e-03
9.320090e-09,2.230983e+04,2.188097e-01,2.901466e-01,1.506203e+00,1.974640e-01,2.795020e-02,6.415718e-03
9.373045e-09,2.235146e+04,2.311020e-01,3.072646e-01,1.520595e+00,2.044569e-01,1.493402e-02,2.724897e-03
9.426000e-09,2.234687e+04,2.432373e-01,3.285444e-01,1.543735e+00,2.131486e-01,5.690857e-03,2.160400e-03
9.478956e-09,2.234400e+04,2.245893e-01,3.230295e-01,1.521928e+00,1.947966e-01,4.622116e-03,2.096034e-03
9.531911e-09,2.229040e+04,1.682096e-01,3.013259e-01,1.507707e+00,1.822994e-01,8.397193e-03,3.090675e-03
9.584866e-09,2.235321e+04,1.182418e-01,2.994825e-01,1.471418e+00,1.823239e-01,1.321959e-02,4.261720e-03
9.637821e-09,2.233155e+04,1.035520e-01,3.504730e-01,1.380801e+00,1.779766e-01,1.944276e-02,2.916844e-03
9.690776e-09,2.225193e+04,1.270765e-01,3.891552e-01,1.324041e+00,1.834592e-01,2.644954e-02,1.434049e-03
9.743731e-09,2.224588e+04,1.646677e-01,3.697702e-01,1.413572e+00,2.061367e-01,3.076389e-02,1.240225e-03
9.796686e-09,2.226882e+04,1.732472e-01,3.502127e-01,1.544994e+00,2.006410e-01,2.707181e-02,1.508720e-03
9.849641e-09,2.224178e+04,1.709396e-01,3.415017e-01,1.553639e+00,1.791700e-01,2.098500e-02,2.762734e-03
9.902596e-09,2.223117e+04,1.788015e-01,3.581881e-01,1.507086e+00,1.782756e-01,2.025170e-02,5.412400e-03
9.955551e-09,2.218187e+04,1.778290e-01,3.609357e-01,1.481823e+00,1.933825e-01,1.932284e-02,7.182105e-03
1.000851e-08,2.218137e+04,1.781799e-01,3.413750e-01,1.498248e+00,1.923246e-01,1.219115e-02,8.465220e-03
1.006146e-08,2.213090e+04,1.827212e-01,3.528608e-01,1.570863e+00,1.686197e-01,6.742111e-03,1.190921e-02
1.011442e-08,2.214663e+04,1.874283e-01,3.695718e-01,1.578207e+00,1.536310e-01,4.301465e-03,1.481972e-02
1.016737e-08,2.204629e+04,1.814816e-01,3.699839e-01,1.506973e+00,1.558296e-01,4.515298e-03,1.705591e-02
1.022033e-08,2.197952e+04,1.600462e-01,3.571608e-01,1.460461e+00,1.682756e-01,8.585498e-03,1.630185e-02
1.027328e-08,2.202198e+04,1.492884e-01,3.390365e-01,1.458362e+00,1.778353e-01,1.407639e-02,1.133933e-02
1.032624e-08,2.203169e+04,1.645178e-01,3.391553e-01,1.476178e+00,1.778210e-01,1.553849e-02,1.099167e-02
1.037919e-08,2.208283e+04,1.847186e-01,3.247365e-01,1.491616e+00,1.858128e-01,1.448857e-02,1.194565e-02
1.043215e-08,2.196773e+04,1.952103e-01,2.887857e-01,1.522009e+00,2.172227e-01,1.288756e-02,6.992630e-03
1.048510e-08,2.192898e+04,1.814841e-01,2.747574e-01,1.521932e+00,2.403503e-01,9.420387e-03,3.220105e-03
1.053806e-08,2.196210e+04,1.762245e-01,3.174672e-01,1.474702e+00,2.083025e-01,1.009678e-02,3.805772e-03
1.059101e-08,2.196764e+04,2.057608e-01,3.827804e-01,1.478714e+00,1.773982e-01,1.690599e-02,5.696227e-03
1.064397e-08,2.192219e+04,2.166466e-01,4.044903e-01,1.507073e+00,2.059008e-01,2.376613e-02,6.891492e-03
1.069692e-08,2.196119e+04,1.989084e-01,3.797154e-01,1.518130e+00,2.482703e-01,2.393884e-02,5.399926e-03
1.074988e-08,2.188276e+04,1.845823e-01,3.608114e-01,1.502249e+00,2.521451e-01,2.298995e-02,4.384868e-03
1.080283e-08,2.182494e+04,1.874131e-01,3.784228e-01,1.470736e+00,2.469594e-01,2.668805e-02,5.647245e-03
1.085579e-08,2.176995e+04,2.123604e-01,3.944373e-01,1.408289e+00,2.361593e-01,2.732398e-02,7.176094e-03
